Cluster_ID,Number,SiO2,TiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,SR87_SR86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,La,Ce,Nd,Sm,Gd,Yb,Lu,Ba,Hf,Nb,Rb,Sr,Ta,Th,Y,Zr
3,BAB37,50.04016871,1.104639486,15.93693513,10.09238803,8.626230167,11.71922073,2.289616389,0.190801366,0.702845,0.513136,18.0514,15.4866,37.958,2.63,8.5,7.25,2.72,3.63,2.64,0.4,20.1,1.85,1.38,3.6,120,0.1,0.25,26,62.8
3,BAB38,50.08581524,2.079757698,15.41645634,11.91317516,5.451792024,11.54972236,3.160020192,0.343260979,0.702713,0.513109,17.8307,15.4218,37.567,5.62,16.6,14.3,4.81,6.06,4.81,0.7,14.2,3.56,3.76,7.21,160,0.27,0.28,49.5,139
3,BAB39,50.10650167,1.278020083,17.27355716,10.05172938,5.436656862,12.04990364,3.418196572,0.385434628,0.702829,0.513066,18.091,15.4955,38.002,6.27,10.72,11.84,3.49,4.65,3.02,0.42,16.3,2.01,1.22,6.12,173,0.11,0.28,34.2,84.1
3,BAB40,49.04935275,1.041666667,18.52750809,10.02224919,5.026294498,13.46076052,2.558656958,0.313511327,0.702862,0.513089,18.169,15.5084,38.122,4.58,9.24,9.34,2.96,3.75,2.89,0.43,29.9,2.03,1.1,6.03,197,0.092,0.31,28.7,63.6
3,BAB41,60.36566785,0.843067547,16.10970036,7.831386491,3.108176739,6.724225495,3.189436262,1.828339259,0.703283,0.513019,18.1018,15.5017,38.043,9.54,24.9,15.5,4.1,4.77,3.8,0.6,153,4.01,4.33,41.5,243,0.3,3.06,35.8,158
3,BAB42,49.76930992,1.623128755,15.25541873,10.58850865,7.428552461,11.83987785,2.81807017,0.677133468,0.703444,0.512975,19.3156,15.5868,38.9295,16.15,34.74,18.07,4.14,4.43,2.17,0.34,196,2.96,24.73,15.9,296,1.52,1.87,24,125
3,BAB43,49.75418572,1.866813353,15.82150101,10.17636745,6.786536941,11.81971327,3.001340805,0.773541445,0.703453,0.512977,19.1941,15.5833,38.8289,15.98,33.71,17.99,4.37,4.45,2.11,0.33,193,3.04,24.96,16.3,290,1.53,1.8,24,125.2
3,BAB44,50.02325344,1.868215384,15.74201159,10.2541998,6.686781837,11.69931601,3.001395206,0.724826734,0.703454,0.512999,19.3208,15.6212,39.0284,15.69,33.09,17.56,4.34,4.42,2.1,0.32,189,3.07,25.12,16.1,291,1.5,1.78,24,125.4
3,BAB45,50.33584095,1.813541107,15.73750672,10.20956475,6.599274584,11.63688877,2.921816228,0.7455669,0.70344,0.512969,19.3462,15.6422,39.1027,15.83,33.4,17.6,4.36,4.36,2.08,0.33,191,3,24.38,15.9,281,1.52,1.77,23,122
3,BAB46,48.19385912,1.043548063,17.01786073,11.54926751,7.435279952,12.56271322,2.026891431,0.170579972,0.70284,0.513078,18.201,15.487,37.952,2.59,7.63,7.48,2.31,2.88,1.7,0.25,13.72,0.98,0.73,1.84,352,0.27,0.133,19.3,35.8
