SiO2,TiO2,Al2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Ni,Cr,Sc,V,Ba,Rb,Sr,Zr,Y,Nb,Cu,Formation,Member,MemberID,Source,FormationID,Polarity
47.54,1.75,15.56,0.15,9.27,9.89,2.59,0.48,0.22,196.0,320.0,27.59,287.0,151.0,8.0,377.0,107.0,23.0,6.0,140.0,Steens,UpperSteens,1,Day2021,0.0,1.0
47.59,1.79,15.35,0.2,8.51,10.19,2.61,0.39,0.22,178.0,312.0,28.58,285.0,164.0,6.0,398.0,117.0,25.0,7.0,166.0,Steens,UpperSteens,1,Day2021,0.0,1.0
47.54,2.08,16.07,0.19,7.12,9.6,2.91,0.6,0.29,138.0,118.0,27.34,297.0,295.0,6.0,436.0,146.0,28.0,9.0,193.0,Steens,UpperSteens,1,Day2021,0.0,1.0
48.69,2.63,14.9,0.22,4.99,8.5,3.38,1.34,0.49,47.0,39.0,30.92,378.0,436.0,29.0,464.0,212.0,39.0,13.0,239.0,Steens,UpperSteens,1,Day2021,0.0,1.0
47.87,2.4,15.68,0.18,6.25,8.98,3.02,0.77,0.34,115.0,43.0,27.71,322.0,264.0,13.0,444.0,168.0,31.0,11.0,218.0,Steens,UpperSteens,1,Day2021,0.0,1.0
47.96,1.99,15.82,0.17,7.89,9.68,2.93,0.57,0.25,180.0,158.0,27.44,319.0,178.0,12.0,374.0,137.0,25.0,8.0,191.0,Steens,UpperSteens,1,Day2021,0.0,1.0
47.71,2.07,15.37,0.2,7.52,10.5,2.55,0.44,0.26,117.0,259.0,34.48,356.0,183.0,6.0,373.0,121.0,26.0,8.0,137.0,Steens,UpperSteens,1,Day2021,0.0,1.0
50.06,2.23,15.74,0.19,5.15,8.45,3.51,1.33,0.44,69.0,80.0,27.1,320.0,449.0,30.0,464.0,179.0,33.0,12.0,192.0,Steens,UpperSteens,1,Day2021,0.0,1.0
47.69,2.06,16.43,0.163,5.41,9.08,3.12,0.61,0.339,106.8,31.7,26.5,276.3,295.9,3.9,435.2,156.7,31.9,10.1,114.7,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
50.35,1.918,16.69,0.154,5.89,8.76,3.51,0.74,0.327,117.8,118.0,23.9,218.1,313.6,8.1,612.6,153.1,25.2,10.4,106.1,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
48.08,1.98,15.6,0.152,6.91,9.5,2.86,0.58,0.309,104.9,66.6,24.9,269.5,257.0,5.4,474.8,146.1,26.7,10.7,54.2,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
47.2,1.862,16.01,0.133,7.32,8.74,2.77,0.59,0.274,144.1,78.7,23.9,252.8,215.5,10.1,442.5,139.6,26.5,11.1,45.8,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
48.64,2.274,16.17,0.238,5.17,9.14,3.16,0.94,0.368,134.6,127.2,27.3,257.1,121.1,4.4,469.6,138.3,26.0,9.8,42.9,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
46.94,1.866,15.41,0.17,8.23,9.92,2.7,0.46,0.269,205.1,185.8,27.4,264.1,153.5,6.8,484.9,127.1,24.8,10.5,83.7,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
47.08,1.786,15.58,0.173,8.5,10.0,2.68,0.44,0.252,199.4,185.3,27.2,274.0,164.4,3.4,487.1,118.5,23.0,10.2,69.9,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
50.08,2.03,16.57,0.174,6.24,9.84,2.99,0.59,0.249,130.0,153.0,32.0,283.0,228.0,9.0,403.0,144.0,27.0,12.5,148.0,Imnaha,LogCreek,2,Reidel2013,1.0,1.0
50.39,2.109,15.68,0.172,6.52,9.51,3.05,0.66,0.281,102.0,125.0,29.0,315.0,212.0,16.0,376.0,148.0,33.0,12.2,95.0,Imnaha,LogCreek,2,Reidel2013,1.0,1.0
