SiO2,TiO2,Al2O3,FeO*,MnO,MgO,CaO,Na2O,K2O,P2O5,Sc,Cr,Rb,Sr,Ba,La,Ce,Th,Formation,FormationID
56.56,2.151,13.78,11.83,0.19,3.22,6.82,3.24,1.68,0.293,29,65,49,325,628,26,55,6,GrandeRonde,2
55.95,2.177,13.49,12.83,0.2,3.1,6.35,3.28,2.01,0.395,29,7,52,283,640,26,55,6,GrandeRonde,2
55.72,2.216,13.33,12.99,0.2,3.07,6.85,2.93,2.07,0.403,34,8,44,292,643,26,55,6,GrandeRonde,2
57.37,2.178,13.63,11.22,0.183,2.91,6.53,3.37,2.04,0.317,26,60,53,315,693,26,55,6,GrandeRonde,2
57.02,2.249,13.64,11.26,0.188,2.99,6.65,3.36,2.05,0.326,31,50,52,321,719,26,55,6,GrandeRonde,2
55.81,2.278,13.81,11.46,0.195,3.44,7.1,3.1,2.17,0.386,32,7,54,359,730,27,55,6,GrandeRonde,2
57.26,2.266,13.59,10.87,0.214,3.05,6.68,3.29,2.19,0.328,32,4,56,325,766,27,55,6,GrandeRonde,2
49.82,3.292,13.58,13.89,0.22,5.06,9.29,2.71,1.12,0.788,42,96,26,292,510,28,55,6,Wanapum,1
49.81,3.291,13.58,13.88,0.221,5.06,9.29,2.71,1.12,0.791,42,96,26,292,510,28,55,6,Wanapum,1
55.67,2.175,13.6,11.99,0.21,3.51,7.35,3.15,1.75,0.359,35,8,45,326,634,28,55,6,GrandeRonde,2
56.19,2.2,13.58,12.16,0.188,3.25,6.88,3.29,1.68,0.308,31,57,49,327,671,29,55,6,GrandeRonde,2
54.91,2.494,13.85,12.24,0.194,3.35,7.25,3.08,1.91,0.457,31,3,49,323,735,31,55,6,GrandeRonde,2
57.02,2.239,13.64,11.4,0.179,3.03,6.65,3.14,2.13,0.334,34,16,51,323,714,38,55,6,GrandeRonde,2
49.84,3.309,13.51,13.83,0.24,5.06,9.25,2.6,1.3,0.799,40,105,29,292,618,8,56,6,Wanapum,1
54.52,2.539,13.95,12.08,0.384,3.73,7.01,3.26,1.77,0.475,34,29,43,325,857,14,56,6,GrandeRonde,2
54.68,2.257,13.71,11.54,0.195,4.32,7.87,3.25,1.58,0.351,31,36,40,327,590,17,56,6,GrandeRonde,2
55.27,2.317,14.42,10.09,0.187,4.13,8.16,3.18,1.64,0.369,35,40,39,331,567,23,56,6,GrandeRonde,2
55.34,2.387,13.62,12.18,0.199,3.33,7.07,3.24,1.93,0.461,30,21,45,318,704,23,56,6,GrandeRonde,2
51.3,3.228,13.44,13.61,0.224,4.37,8.59,2.81,1.49,0.703,46,32,31,312,571,24,56,6,Wanapum,1
57.14,2.168,13.76,10.6,0.177,3.26,7.12,3.24,1.93,0.34,30,35,51,345,738,27,56,6,GrandeRonde,2
53.33,2.29,14.55,13.67,0.19,3.7,7.82,2.79,1.01,0.39,37,32,31,343,645,28,56,6,GrandeRonde,2
54.54,2.42,13.96,13.13,0.188,3.25,6.93,3.23,1.64,0.447,32,0.1,39,338,794,30,56,6,GrandeRonde,2
54.76,2.414,13.34,12.33,0.198,3.91,7.56,3.28,1.59,0.373,30,29,44,312,601,31,56,6,GrandeRonde,2
50.25,3.253,13.44,13.62,0.236,5.19,9.28,2.51,1.2,0.785,36,110,28,288,515,20,57,6,Wanapum,1
57.01,1.973,13.92,10.64,0.201,3.48,7.02,3.26,1.94,0.308,34,11,50,316,745,20,57,6,GrandeRonde,2
